1,0
2,1
3,2
4,2
5,2
6,3
7,3
8,4
9,4
10,6
11,6
12,7
13,9
14,9
15,9
16,9
17,10
18,11
19,12
20,12
21,12
22,12
23,14
24,14
25,14
26,16
27,16
28,16
29,19
30,20
31,20
32,21
33,22
34,22
35,23
36,23
37,23
38,24
39,24
40,24
41,24
42,25
43,25
44,25
45,26
46,26
47,27
48,27
49,27
50,27
51,28
52,28
53,28
54,29
55,29
56,29
57,29
58,29
59,30
60,30
61,30
62,32
63,32
64,32
65,33
66,33
67,34
68,34
69,36
70,36
71,37
72,38
73,39
74,40
75,40
76,40
77,40
78,40
79,40
80,41
81,41
82,41
83,42
84,42
85,43
86,43
87,43
88,43
89,44
90,45
91,45
92,46
93,46
94,46
95,46
96,46
97,47
98,47
99,48
100,48
101,49
102,50
103,50
104,51
105,51
106,52
107,52
108,52
109,52
110,52
111,52
112,53
113,54
114,56
